Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1978,-0.07,-0.35,-0.77,-0.37,-0.54,-0.86,-0.4,-0.64,-0.3,-0.43,0.04,0.23
1979,0.23,-0.58,-0.25,0.51,0.27,0.76,0.45,0.5,1.02,0.67,0.12,-0.34
1980,-0.1,-0.25,0.02,0.0,0.25,0.21,-0.44,-0.44,-0.11,-0.52,-0.68,-1.13
1981,-1.29,-0.83,-0.19,-0.31,-0.22,-0.06,-0.56,-0.55,-0.24,-0.52,-0.55,-0.17
1982,-0.12,-0.35,-0.72,-0.51,0.08,0.27,0.6,1.09,2.01,2.28,3.08,3.2
1983,2.73,2.03,2.34,3.36,4.1,4.56,3.93,3.11,2.07,1.02,0.56,0.22
1984,-0.29,-0.77,-0.41,-0.25,-1.11,-0.92,-0.54,-0.52,-0.36,-0.61,-0.18,-0.5
1985,-0.77,-1.13,-0.59,-1.38,-1.41,-1.25,-1.04,-1.02,-0.83,-0.82,-0.92,-0.75
1986,-0.59,-0.35,-0.84,-0.86,-0.82,-0.9,-0.14,0.17,-0.13,0.14,0.28,0.53
1987,0.77,1.02,1.15,1.51,1.35,1.06,1.19,0.91,1.31,1.5,0.9,0.89
1988,0.09,-0.27,-0.52,-0.9,-1.09,-1.96,-1.54,-1.59,-1.43,-1.26,-0.65,-0.97
1989,-0.28,0.05,-0.45,-0.49,-1.16,-0.73,-0.44,-0.46,-0.47,-0.29,-0.38,-0.43
1990,-0.33,-0.27,-0.41,-0.33,-0.23,-0.05,-0.87,-0.61,-0.28,-0.73,-0.55,-0.44
1991,-0.09,-0.1,0.0,-0.68,-0.01,0.24,0.6,0.0,0.16,0.42,0.63,0.45
1992,0.36,0.44,0.92,1.72,1.83,0.71,-0.05,-0.24,-0.5,-0.26,-0.25,-0.31
1993,0.03,0.2,0.53,0.83,1.13,0.88,0.32,0.21,0.12,0.32,-0.23,-0.29
1994,-0.07,-0.33,-1.13,-1.22,-0.91,-0.59,-0.82,-0.9,-0.05,0.65,0.59,0.68
1995,0.91,0.24,-0.57,-0.99,-1.01,-0.53,-0.25,-0.52,-0.28,-0.41,-0.26,-0.68
1996,-0.61,-0.32,-0.07,-1.27,-0.82,-1.07,-0.98,-0.46,-0.53,-0.8,-0.79,-1.03
1997,-0.56,-0.03,0.82,0.98,2.16,3.17,3.63,3.98,4.05,4.0,4.12,4.27
1998,3.55,2.88,2.88,3.0,3.01,2.0,1.31,0.94,0.31,0.12,-0.21,-0.14
1999,-0.23,0.05,0.29,-0.78,-0.43,-0.55,-0.65,-0.51,-0.97,-0.76,-1.11,-1.06
2000,-0.89,-0.47,-0.56,0.46,-0.29,-0.65,-0.57,-0.59,-0.34,-0.49,-0.7,-0.55
2001,-0.76,-0.33,0.35,0.42,-0.64,-0.86,-0.7,-0.77,-1.2,-1.14,-0.94,-1.12
2002,-0.94,-0.3,0.62,0.33,0.18,-0.4,-0.44,-0.26,0.04,0.57,0.78,0.69
2003,0.1,-0.21,-0.49,-0.9,-1.35,-0.91,-0.58,0.08,-0.43,-0.07,0.29,0.31
2004,-0.03,-0.2,-0.34,-0.45,-0.96,-0.69,-0.7,-0.44,-0.1,0.11,0.39,0.27
2005,0.03,-0.61,-1.15,-0.36,0.22,-0.15,-0.06,-0.3,-0.61,-1.05,-1.41,-1.19
2006,-0.69,0.33,-0.27,-0.89,-0.39,-0.19,0.18,0.51,0.78,1.2,0.91,0.62
2007,0.57,0.06,-0.65,-1.05,-1.47,-1.4,-0.94,-1.36,-1.34,-1.65,-1.95,-1.63
2008,-0.8,-0.16,0.33,0.5,-0.32,0.26,0.47,0.67,0.32,-0.17,-0.21,-0.33
2009,-0.17,-0.31,-0.85,0.0,0.17,0.54,0.7,0.66,0.22,0.22,0.14,0.49
2010,0.36,0.04,-0.04,0.51,0.39,0.14,-1.05,-1.23,-1.29,-1.53,-1.38,-1.03
2011,-0.61,0.07,-0.43,-0.05,0.25,0.37,0.27,-0.2,-1.01,-0.71,-0.8,-0.68
2012,-0.39,0.4,-0.02,0.48,0.43,0.99,0.82,0.27,0.04,-0.39,-0.46,-0.61
2013,-0.7,-0.32,-0.38,-1.32,-1.44,-1.44,-1.36,-0.76,-0.77,-0.16,-0.5,-0.25
2014,0.37,-0.67,-0.51,-0.25,0.74,1.17,1.04,0.67,0.15,0.34,0.57,0.14
2015,-0.16,-0.62,-0.01,0.64,1.59,2.19,2.32,2.08,2.48,2.38,2.21,2.09
2016,1.82,1.09,1.1,0.29,0.45,0.52,-0.06,0.19,0.25,-0.03,-0.08,0.02
2017,0.33,0.92,1.56,0.49,0.25,0.2,-0.46,-0.76,-1.28,-1.32,-1.44,-1.54
2018,-1.25,-0.43,-1.3,-0.81,-0.46,-0.47,-0.08,-0.54,0.12,0.3,0.69,0.79
2019,0.67,0.66,-0.18,0.36,0.24,-0.11,-0.36,-0.29,-0.68,-0.71,0.02,-0.19
2020,-0.12,-0.03,-0.44,0.03,-0.24,-0.43,-1.09,-0.43,-0.85,-0.99,-0.87,-0.76
