Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1978,0.660,0.357,0.286,-0.058,-0.140,-0.332,-0.459,-0.533,-0.395,-0.012,0.098,0.017
1979,-0.021,-0.273,-0.191,0.166,0.341,0.200,0.160,0.044,0.349,0.363,0.436,0.420
1980,0.478,0.330,0.223,0.479,0.580,0.289,0.215,0.111,0.101,0.240,0.317,0.363
1981,0.076,-0.098,-0.112,-0.181,-0.193,-0.153,-0.266,-0.204,-0.012,0.131,0.232,0.147
1982,0.115,0.211,0.208,0.382,0.441,0.656,0.762,0.921,1.415,1.687,1.545,1.754
1983,1.852,1.783,1.620,1.286,1.259,1.347,1.219,0.880,0.261,-0.060,-0.270,0.058
1984,0.107,0.137,0.103,-0.082,-0.290,-0.420,-0.379,-0.217,-0.185,-0.090,-0.423,-0.766
1985,-0.692,-0.568,-0.633,-0.632,-0.571,-0.271,-0.228,-0.234,-0.267,-0.256,-0.254,-0.237
1986,-0.293,-0.017,0.156,0.149,0.008,0.114,0.464,0.513,0.515,0.609,1.008,1.059
1987,0.825,0.996,1.145,1.000,1.094,1.116,1.461,1.487,1.628,1.409,1.193,1.090
1988,0.657,0.189,0.251,-0.021,-0.427,-0.893,-1.062,-0.889,-0.870,-1.399,-1.290,-1.355
1989,-1.476,-1.111,-0.957,-0.724,-0.673,-0.420,-0.340,-0.512,-0.534,-0.542,-0.620,-0.078
1990,-0.050,-0.023,-0.202,0.123,-0.037,-0.062,-0.031,0.161,0.044,-0.050,-0.202,-0.188
1991,0.054,0.041,0.053,-0.004,0.187,0.277,0.454,0.500,0.639,0.793,0.901,1.000
1992,1.058,0.997,0.981,1.206,1.429,1.082,0.726,0.574,0.511,0.543,0.402,0.376
1993,0.514,0.699,0.770,1.027,1.161,1.016,0.676,0.743,0.761,0.721,0.667,0.710
1994,0.468,0.230,0.258,0.614,0.654,0.618,0.401,0.255,0.320,0.660,0.657,0.691
1995,0.810,0.682,0.606,0.379,0.351,0.471,0.333,-0.163,-0.192,-0.377,-0.568,-0.501
1996,-0.343,-0.296,-0.147,-0.316,-0.127,-0.063,-0.208,-0.245,-0.171,-0.018,0.067,-0.297
1997,0.087,-0.141,0.018,0.394,0.792,1.152,1.306,1.633,1.749,1.971,2.031,1.863
1998,1.963,1.626,1.253,0.684,0.345,-0.102,-0.466,-0.449,-0.755,-1.150,-1.083,-1.169
1999,-1.281,-1.213,-1.133,-1.279,-1.099,-1.259,-1.042,-1.035,-1.222,-1.459,-1.443,-1.345
2000,-1.340,-1.102,-0.860,-0.687,-0.932,-0.902,-0.876,-0.815,-0.679,-0.797,-0.689,-0.634
2001,-0.468,-0.597,-0.385,-0.501,-0.516,-0.530,-0.591,-0.321,-0.468,-0.606,-0.749,-0.716
2002,-0.399,-0.459,-0.234,-0.087,-0.006,0.139,0.130,0.347,0.328,0.674,1.073,1.048
2003,0.724,0.674,0.550,0.049,-0.374,-0.334,0.124,0.261,-0.076,0.353,0.463,0.278
2004,0.104,-0.007,0.079,0.060,-0.228,-0.246,-0.167,0.084,0.244,0.239,0.336,0.577
2005,0.549,0.035,0.225,0.145,0.175,-0.025,-0.228,-0.283,-0.545,-0.780,-1.087,-0.786
2006,-0.565,-0.457,-0.498,-0.418,-0.206,0.020,0.157,0.318,0.362,0.716,0.806,1.065
2007,0.738,0.265,-0.016,-0.028,-0.318,-0.244,-0.267,-0.555,-0.976,-1.312,-1.333,-1.250
2008,-1.463,-1.401,-1.146,-1.039,-0.747,-0.668,-0.475,-0.307,-0.487,-0.604,-0.718,-0.956
2009,-0.971,-0.936,-0.855,-0.404,-0.025,0.293,0.297,0.345,0.587,0.710,0.922,1.077
2010,0.905,0.658,0.335,0.249,-0.096,-0.624,-1.184,-1.447,-1.802,-1.757,-1.577,-1.653
2011,-1.590,-1.241,-1.100,-0.800,-0.829,-0.870,-0.980,-1.009,-1.050,-1.290,-1.419,-1.258
2012,-0.844,-0.556,-0.570,-0.292,-0.430,-0.059,-0.134,-0.035,-0.219,-0.001,0.223,-0.227
2013,-0.424,-0.449,-0.444,-0.409,-0.536,-0.687,-0.870,-0.910,-0.727,-0.581,-0.531,-0.517
2014,-0.506,-0.426,-0.020,0.056,0.233,-0.071,-0.080,-0.186,-0.048,0.377,0.657,0.749
2015,0.516,0.498,0.299,0.538,0.529,0.808,0.936,1.158,1.527,1.541,1.600,1.601
2016,1.549,1.160,1.106,0.758,0.290,0.048,-0.286,-0.378,-0.647,-0.831,-0.467,-0.226
2017,-0.137,0.011,-0.048,0.042,0.015,-0.114,-0.330,-0.472,-0.606,-0.863,-0.949,-1.067
2018,-1.024,-1.026,-1.069,-0.730,-0.634,-0.538,-0.285,-0.219,-0.146,-0.023,0.006,0.123
2019,0.020,-0.082,0.032,0.089,0.123,-0.052,-0.167,-0.384,-0.365,-0.192,-0.026,-0.071
2020,-0.154,-0.280,-0.328,-0.075,-0.427,-0.724,-0.855,-1.098,-1.357,-1.383,-1.618,-1.263
